record_id,workload_type,compute_demand_TFlops,storage_demand_TB,network_demand_Gbps,energy_source,energy_consumption_kWh,renewable_share_percent,carbon_emissions_kgCO2,qso_optimization_score,uncertainty_factor,security_level,pqc_enabled,energy_efficiency_index,service_quality_index,secure_operations_score,workload_scenario,scenario_strategy,operational_cost_usd,performance_metric
DC0001,Cloud Storage,408.32,62.95,67.84,Grid,14640.06,34.19,1113.58,0.555,0.085,High,0,0.955,0.539,0.874,Medium,Performance-Driven Strategy,194423.36,0.677
DC0002,Cloud Storage,499.86,122.46,82.93,Wind,40116.37,27.88,310.16,0.902,0.119,Quantum-Safe,0,0.509,0.967,0.879,Medium,Balanced Approach,21317.79,0.861
DC0003,Database Queries,498.35,143.51,29.81,Hybrid,16986.44,32.22,1398.7,0.926,0.225,Quantum-Safe,0,0.779,0.682,0.977,Low,Balanced Approach,180738.68,0.621
DC0004,Cloud Storage,282.16,55.25,1.92,Hybrid,15669.79,37.58,1600.27,0.009,0.5,High,0,0.894,0.922,0.527,Medium,Balanced Approach,29590.03,0.725
DC0005,Web Hosting,386.8,83.3,73.92,Hybrid,12392.79,59.96,368.54,0.075,0.84,Low,1,0.771,0.709,0.798,Renewable Boost,Performance-Driven Strategy,81626.97,0.66
DC0006,Database Queries,472.94,25.26,83.5,Hybrid,7354.27,62.92,253.41,0.25,0.701,Medium,0,0.662,0.72,0.714,Renewable Boost,Carbon-Neutral Objective,171030.55,0.832
DC0007,Web Hosting,426.33,37.05,74.18,Wind,13566.69,48.38,333.76,0.669,0.789,Low,1,0.568,0.817,0.665,High,Performance-Driven Strategy,181719.58,0.865
DC0008,Web Hosting,131.2,136.54,14.71,Grid,18410.67,65.39,1760.4,0.888,0.351,High,1,0.944,0.887,0.545,Peak,Energy-Efficient Focus,103742.48,0.888
DC0009,Cloud Storage,230.77,37.11,75.47,Wind,34025.72,17.34,1079.97,0.46,0.405,Quantum-Safe,0,0.735,0.517,0.781,Medium,Performance-Driven Strategy,120850.4,0.702
DC0010,Database Queries,73.29,105.51,77.01,Wind,4065.68,17.9,961.16,0.607,0.394,High,1,0.939,0.797,0.74,Low,Carbon-Neutral Objective,143088.73,0.636
DC0011,Cloud Storage,477.49,142.1,66.02,Grid,11314.84,25.46,258.09,0.188,0.192,Low,1,0.793,0.593,0.552,Peak,Performance-Driven Strategy,167387.94,0.631
DC0012,Database Queries,307.03,22.27,76.73,Wind,40642.16,56.63,1316.63,0.805,0.061,Low,0,0.837,0.673,0.806,Medium,Carbon-Neutral Objective,28694.68,0.77
DC0013,Cloud Storage,122.03,113.9,84.67,Hybrid,8199.17,29.26,1742.6,0.967,0.591,Quantum-Safe,1,0.902,0.674,0.869,Medium,Carbon-Neutral Objective,162963.52,0.978
DC0014,IoT Processing,339.13,52.06,61.55,Grid,17789.61,35.5,1664.96,0.269,0.989,High,0,0.83,0.735,0.884,Renewable Boost,Balanced Approach,98848.85,0.687
DC0015,IoT Processing,312.88,192.62,9.32,Solar,43368.29,46.03,1270.81,0.495,0.167,High,1,0.699,0.667,0.953,Low,Performance-Driven Strategy,92871.57,0.703
DC0016,Web Hosting,185.5,97.23,49.02,Wind,8591.34,83.07,196.79,0.086,0.047,Quantum-Safe,0,0.757,0.554,0.705,Peak,Energy-Efficient Focus,87660.45,0.64
DC0017,Database Queries,65.64,161.39,8.23,Wind,5054.1,11.25,269.17,0.559,0.78,Medium,0,0.902,0.573,0.977,Medium,Carbon-Neutral Objective,104296.26,0.842
DC0018,Cloud Storage,339.07,110.5,41.05,Wind,24742.36,68.44,146.15,0.503,0.253,Low,1,0.687,0.517,0.933,Medium,Performance-Driven Strategy,189284.86,0.872
